	New York	New Jersey	New York City
8/1/2001	128.4061737	126.3201986	139.9136704
9/1/2001	127.4209123	126.2601538	139.0257072
10/1/2001	126.5090927	126.2005688	138.1493086
11/1/2001	125.7198747	126.1083366	137.3253779
12/1/2001	125.1880748	126.1036253	136.5846591
1/1/2002	124.7740579	126.1730985	135.9442122
2/1/2002	124.4645905	126.1622251	135.4142718
3/1/2002	124.2749765	126.0508074	134.9924952
4/1/2002	124.1630358	125.8799317	134.6701939
5/1/2002	124.1241388	125.7016387	134.4326234
6/1/2002	124.1254482	125.5752422	134.2628519
7/1/2002	124.1263137	125.4469813	134.1391872
8/1/2002	124.0583279	125.393108	134.0348319
9/1/2002	123.9400575	125.3450485	133.9266307
10/1/2002	123.7642107	125.3045351	133.8028715
11/1/2002	123.5261495	125.2952275	133.6670459
12/1/2002	123.2904889	125.3301822	133.5242854
1/1/2003	123.0756523	125.3771301	133.3768045
2/1/2003	122.86927	125.3755884	133.2265906
3/1/2003	122.6356762	125.4150874	133.0821541
4/1/2003	122.4263592	125.5173234	132.9584655
5/1/2003	122.2182593	125.649934	132.8703991
6/1/2003	122.0672942	125.823176	132.8283119
7/1/2003	122.0631348	126.0291596	132.8406787
8/1/2003	122.0051413	126.1584288	132.9106389
9/1/2003	122.0817012	126.2784525	133.0425305
10/1/2003	122.2195924	126.4357257	133.2236809
11/1/2003	122.3604486	126.5458709	133.4401735
12/1/2003	122.4741701	126.650727	133.6836228
1/1/2004	122.5804556	126.74179	133.9559657
2/1/2004	122.7129791	126.8542681	134.2613385
3/1/2004	122.9859917	127.0191286	134.5997732
4/1/2004	123.2612576	127.2455474	134.9667631
5/1/2004	123.6317746	127.5071613	135.3629844
6/1/2004	124.0492223	127.7875192	135.7861352
7/1/2004	124.4255273	128.1145745	136.2370885
8/1/2004	124.8849507	128.4023252	136.7171552
9/1/2004	125.2432955	128.6577828	137.2215897
10/1/2004	125.5108418	128.9079824	137.7494424
11/1/2004	125.703342	129.1375896	138.2914627
12/1/2004	125.924343	129.2838751	138.8408846
1/1/2005	126.0672808	129.3447965	139.3993093
2/1/2005	126.2677185	129.4669978	139.9645009
3/1/2005	126.2831912	129.6779681	140.5334523
4/1/2005	126.3623762	129.9143541	141.093954
5/1/2005	126.4677875	130.0639073	141.6239364
6/1/2005	126.5358662	130.1803667	142.1136123
7/1/2005	126.5818016	130.2954342	142.5613411
8/1/2005	126.6118361	130.3862391	142.9701752
9/1/2005	126.588263	130.5008136	143.3469976
10/1/2005	126.7769282	130.5660113	143.7093704
11/1/2005	127.1851867	130.6954279	144.0776909
12/1/2005	127.6167466	130.884161	144.4648996
1/1/2006	128.0403494	131.1025897	144.8735521
2/1/2006	128.3784925	131.317896	145.3082649
3/1/2006	128.9602749	131.4489167	145.7707675
4/1/2006	129.3603702	131.5386286	146.2633554
5/1/2006	129.6975162	131.6706478	146.7925661
6/1/2006	130.0309031	131.7713795	147.3565371
7/1/2006	130.3596304	131.8778975	147.9476374
8/1/2006	130.7279789	132.0359298	148.5665725
9/1/2006	131.2135442	132.2549619	149.2089761
10/1/2006	131.6997695	132.415985	149.8581323
11/1/2006	132.1056246	132.5935599	150.4968409
12/1/2006	132.4454668	132.6991107	151.1114525
1/1/2007	132.977888	132.8041841	151.6904597
2/1/2007	133.4586959	132.8887595	152.2317368
3/1/2007	133.7774634	132.9320805	152.7442722
4/1/2007	134.0901069	132.9955673	153.2483854
5/1/2007	134.3177682	133.0707601	153.7600268
6/1/2007	134.575357	133.1238522	154.286045
7/1/2007	134.8069676	133.1730145	154.8264053
8/1/2007	135.0004181	133.166728	155.3723988
9/1/2007	135.3517297	133.1095324	155.918487
10/1/2007	135.6057915	133.147526	156.4538403
11/1/2007	135.8570871	133.1987945	156.9675356
12/1/2007	136.2045583	133.2592074	157.4448658
